CustomerID,Recency,Frequency,Monetary,IsChurned,R_Score,F_Score,M_Score,RFM_Score,Segment
1001,199,3,5287,0,4,1,1,411,Loyal
1002,114,5,9915,0,4,1,2,412,Loyal
1003,1169,9,16747,1,2,4,4,244,At Risk
1004,813,6,10552,1,3,2,2,322,Others
1005,738,5,10284,1,3,1,2,312,Others
1006,374,4,7181,1,4,1,1,411,Loyal
1007,1161,7,21577,1,2,3,5,235,At Risk
1008,745,10,3451,1,3,5,1,351,At Risk
1009,1047,7,11134,1,2,3,3,233,At Risk
1010,-561,5,6736,0,5,1,1,511,Loyal
1011,1345,5,10821,1,1,1,3,113,Lost
1012,579,7,14405,1,3,3,4,334,At Risk
1013,589,11,35383,1,3,5,5,355,At Risk
1014,-327,7,24243,0,5,3,5,535,Loyal
1015,537,7,9941,1,3,3,2,332,At Risk
1016,1544,9,18003,1,1,4,4,144,At Risk
1017,-418,9,19325,0,5,4,4,544,VIP
1018,-41,8,11213,0,5,4,3,543,VIP
1019,730,6,14827,1,3,2,4,324,Others
1020,-673,6,10922,0,5,2,3,523,Loyal
1021,119,9,10793,0,4,4,2,442,Loyal
1022,788,8,14322,1,3,4,4,344,At Risk
1023,83,7,8762,0,5,3,2,532,Loyal
1024,-170,12,33329,0,5,5,5,555,VIP
1025,1804,9,30835,1,1,4,5,145,At Risk
1026,784,3,6550,1,3,1,1,311,Others
1027,1894,9,18751,1,1,4,4,144,At Risk
1028,-603,5,10571,0,5,1,2,512,Loyal
1029,1018,5,14433,1,2,1,4,214,Lost
1030,836,6,17223,1,3,2,4,324,Others
1031,1119,8,15306,1,2,4,4,244,At Risk
1032,755,4,8757,1,3,1,2,312,Others
1033,1856,6,14936,1,1,2,4,124,Lost
1034,556,7,8027,1,3,3,2,332,At Risk
1035,1006,4,11637,1,2,1,3,213,Lost
1036,1576,5,16505,1,1,1,4,114,Lost
1037,614,3,8621,1,3,1,2,312,Others
1038,1571,5,5329,1,1,1,1,111,Lost
1039,438,8,4179,1,4,4,1,441,Loyal
1040,53,3,7594,0,5,1,1,511,Loyal
1041,386,3,4289,1,4,1,1,411,Loyal
1042,1385,9,19938,1,1,4,4,144,At Risk
1043,983,8,25210,1,2,4,5,245,At Risk
1044,917,7,10550,1,2,3,2,232,At Risk
1045,-9,8,13734,0,5,4,3,543,VIP
1046,893,4,8830,1,2,1,2,212,Lost
1047,820,7,7188,1,3,3,1,331,At Risk
1048,-125,9,12884,0,5,4,3,543,VIP
1049,682,4,8074,1,3,1,2,312,Others
1050,-31,6,10647,0,5,2,2,522,Loyal
1051,1565,9,22106,1,1,4,5,145,At Risk
1052,365,4,16297,0,4,1,4,414,Loyal
1053,606,6,12446,1,3,2,3,323,Others
1054,1623,10,13687,1,1,5,3,153,At Risk
1055,823,6,18382,1,3,2,4,324,Others
1056,568,10,8083,1,3,5,2,352,At Risk
1057,235,7,6708,0,4,3,1,431,Loyal
1058,1125,9,13983,1,2,4,3,243,At Risk
1059,50,7,12514,0,5,3,3,533,Loyal
1060,545,4,6142,1,3,1,1,311,Others
1061,1354,6,11858,1,1,2,3,123,Lost
1062,783,5,11030,1,3,1,3,313,Others
1063,671,8,22413,1,3,4,5,345,At Risk
1064,-799,11,22752,0,5,5,5,555,VIP
1065,734,5,7892,1,3,1,2,312,Others
1066,18,2,5521,1,5,1,1,511,Loyal
1067,1353,8,11093,1,1,4,3,143,At Risk
1068,1151,10,7755,1,2,5,1,251,At Risk
1069,1165,6,17426,1,2,2,4,224,Lost
1070,-734,8,22851,0,5,4,5,545,VIP
1071,677,7,9840,1,3,3,2,332,At Risk
1072,130,7,11904,0,4,3,3,433,Loyal
1073,-808,10,13123,0,5,5,3,553,VIP
1074,1763,6,13469,1,1,2,3,123,Lost
1075,-157,11,36289,0,5,5,5,555,VIP
1076,-56,13,32853,0,5,5,5,555,VIP
1077,415,8,22214,1,4,4,5,445,Loyal
1078,1357,2,5229,1,1,1,1,111,Lost
1079,1987,9,17999,1,1,4,4,144,At Risk
1080,1297,9,25312,1,2,4,5,245,At Risk
1081,497,6,15352,1,4,2,4,424,Loyal
1082,799,8,24636,1,3,4,5,345,At Risk
1083,1488,5,8276,1,1,1,2,112,Lost
1084,475,8,5571,1,4,4,1,441,Loyal
1085,1181,5,13919,1,2,1,3,213,Lost
1086,-276,8,18098,0,5,4,4,544,VIP
1087,952,6,10667,1,2,2,2,222,Lost
1088,1371,13,23658,1,1,5,5,155,At Risk
1089,603,6,23496,1,3,2,5,325,Others
1090,1851,6,9110,1,1,2,2,122,Lost
1091,-149,6,8160,0,5,2,2,522,Loyal
1092,893,5,10319,1,2,1,2,212,Lost
1093,1129,6,17312,1,2,2,4,224,Lost
1094,892,8,29670,1,2,4,5,245,At Risk
1095,1526,5,12465,1,1,1,3,113,Lost
1096,1913,4,4188,1,1,1,1,111,Lost
1097,1531,5,17390,1,1,1,4,114,Lost
1098,1155,5,9926,1,2,1,2,212,Lost
1099,566,10,13717,1,3,5,3,353,At Risk
1100,-223,7,8333,0,5,3,2,532,Loyal
1101,763,6,15763,1,3,2,4,324,Others
1102,1450,11,23970,1,1,5,5,155,At Risk
1103,315,3,6776,0,4,1,1,411,Loyal
1104,-393,10,29648,0,5,5,5,555,VIP
1105,1069,12,16780,1,2,5,4,254,At Risk
1106,833,8,24196,1,3,4,5,345,At Risk
1107,186,9,14495,0,4,4,4,444,Loyal
1108,80,7,25361,0,5,3,5,535,Loyal
1109,1377,6,14694,1,1,2,4,124,Lost
1110,925,7,9168,1,2,3,2,232,At Risk
1111,999,4,1923,1,2,1,1,211,Lost
1112,1186,9,23460,1,2,4,5,245,At Risk
1113,494,5,8596,1,4,1,2,412,Loyal
1114,627,6,11299,1,3,2,3,323,Others
1115,-241,4,10298,0,5,1,2,512,Loyal
1116,1150,9,24820,1,2,4,5,245,At Risk
1117,146,7,20424,0,4,3,5,435,Loyal
1118,1662,12,13426,1,1,5,3,153,At Risk
1119,1102,8,24555,1,2,4,5,245,At Risk
1120,1477,11,17222,1,1,5,4,154,At Risk
1121,-281,10,3078,0,5,5,1,551,VIP
1122,243,7,7813,0,4,3,1,431,Loyal
1123,84,6,12981,0,5,2,3,523,Loyal
1124,928,6,7595,1,2,2,1,221,Lost
1125,1561,11,21273,1,1,5,5,155,At Risk
1126,314,2,4507,1,4,1,1,411,Loyal
1127,1633,8,14911,1,1,4,4,144,At Risk
1128,525,7,11404,1,3,3,3,333,At Risk
1129,453,6,6371,1,4,2,1,421,Loyal
1130,166,7,14115,0,4,3,3,433,Loyal
1131,1020,10,4512,1,2,5,1,251,At Risk
1132,1488,8,11884,1,1,4,3,143,At Risk
1133,679,8,10433,1,3,4,2,342,At Risk
1134,373,6,10922,1,4,2,3,423,Loyal
1135,1275,5,9200,1,2,1,2,212,Lost
1136,566,8,21759,1,3,4,5,345,At Risk
1137,870,8,25500,1,3,4,5,345,At Risk
1138,541,4,4646,1,3,1,1,311,Others
1139,1079,4,13978,1,2,1,3,213,Lost
1140,1060,7,9908,1,2,3,2,232,At Risk
1141,882,10,21293,1,3,5,5,355,At Risk
1142,73,7,16682,0,5,3,4,534,Loyal
1143,-69,9,34500,0,5,4,5,545,VIP
1144,304,9,14339,0,4,4,4,444,Loyal
1145,-54,6,3914,0,5,2,1,521,Loyal
1146,-91,6,18706,0,5,2,4,524,Loyal
1147,1632,10,13749,1,1,5,3,153,At Risk
1148,-72,9,15559,0,5,4,4,544,VIP
1149,1324,8,9293,1,2,4,2,242,At Risk
1150,1086,8,13847,1,2,4,3,243,At Risk
1151,301,3,4109,0,4,1,1,411,Loyal
1152,917,8,20058,1,2,4,4,244,At Risk
1153,76,6,12363,0,5,2,3,523,Loyal
1154,1142,4,5956,1,2,1,1,211,Lost
1155,636,6,16481,1,3,2,4,324,Others
1156,-140,5,10956,0,5,1,3,513,Loyal
1157,1502,9,5539,1,1,4,1,141,At Risk
1158,-490,9,24207,0,5,4,5,545,VIP
1159,-421,4,8554,0,5,1,2,512,Loyal
