CustomerID,JoinDate,LastPurchaseDate,Frequency,Monetary,Recency,IsChurned
1001,2022-01-31,2025-01-04,3,5287,199,0
1002,2022-12-30,2025-03-30,5,9915,114,0
1003,2021-05-10,2022-05-10,9,16747,1169,1
1004,2022-07-18,2023-05-01,6,10552,813,1
1005,2022-02-04,2023-07-15,5,10284,738,1
1006,2021-12-31,2024-07-13,4,7181,374,1
1007,2021-11-10,2022-05-18,7,21577,1161,1
1008,2019-05-02,2023-07-08,10,3451,745,1
1009,2020-04-11,2022-09-09,7,11134,1047,1
1010,2022-05-23,2027-02-03,5,6736,-561,0
1011,2019-11-27,2021-11-15,5,10821,1345,1
1012,2019-03-29,2023-12-21,7,14405,579,1
1013,2022-10-28,2023-12-11,11,35383,589,1
1014,2022-01-28,2026-06-14,7,24243,-327,0
1015,2021-05-21,2024-02-01,7,9941,537,1
1016,2019-05-11,2021-04-30,9,18003,1544,1
1017,2022-08-25,2026-09-13,9,19325,-418,0
1018,2021-02-08,2025-09-01,8,11213,-41,0
1019,2019-12-10,2023-07-23,6,14827,730,1
1020,2022-12-08,2027-05-26,6,10922,-673,0
1021,2021-03-16,2025-03-25,9,10793,119,0
1022,2020-01-21,2023-05-26,8,14322,788,1
1023,2022-04-30,2025-04-30,7,8762,83,0
1024,2021-08-13,2026-01-08,12,33329,-170,0
1025,2019-10-04,2020-08-13,9,30835,1804,1
1026,2022-03-30,2023-05-30,3,6550,784,1
1027,2020-04-04,2020-05-15,9,18751,1894,1
1028,2022-08-30,2027-03-17,5,10571,-603,0
1029,2019-01-22,2022-10-08,5,14433,1018,1
1030,2019-09-10,2023-04-08,6,17223,836,1
1031,2021-01-17,2022-06-29,8,15306,1119,1
1032,2021-05-06,2023-06-28,4,8757,755,1
1033,2020-04-19,2020-06-22,6,14936,1856,1
1034,2021-12-18,2024-01-13,7,8027,556,1
1035,2020-05-25,2022-10-20,4,11637,1006,1
1036,2020-11-30,2021-03-29,5,16505,1576,1
1037,2021-09-02,2023-11-16,3,8621,614,1
1038,2019-07-09,2021-04-03,5,5329,1571,1
1039,2021-08-15,2024-05-10,8,4179,438,1
1040,2020-11-17,2025-05-30,3,7594,53,0
1041,2021-08-15,2024-07-01,3,4289,386,1
1042,2020-07-16,2021-10-06,9,19938,1385,1
1043,2022-06-21,2022-11-12,8,25210,983,1
1044,2021-04-11,2023-01-17,7,10550,917,1
1045,2022-02-28,2025-07-31,8,13734,-9,0
1046,2020-10-08,2023-02-10,4,8830,893,1
1047,2019-01-21,2023-04-24,7,7188,820,1
1048,2021-04-20,2025-11-24,9,12884,-125,0
1049,2019-06-16,2023-09-09,4,8074,682,1
1050,2022-07-21,2025-08-22,6,10647,-31,0
1051,2020-01-23,2021-04-09,9,22106,1565,1
1052,2020-08-23,2024-07-22,4,16297,365,0
1053,2019-11-12,2023-11-24,6,12446,606,1
1054,2019-01-14,2021-02-10,10,13687,1623,1
1055,2019-08-30,2023-04-21,6,18382,823,1
1056,2021-02-15,2024-01-01,10,8083,568,1
1057,2022-10-01,2024-11-29,7,6708,235,0
1058,2020-07-18,2022-06-23,9,13983,1125,1
1059,2021-06-16,2025-06-02,7,12514,50,0
1060,2022-09-25,2024-01-24,4,6142,545,1
1061,2019-04-02,2021-11-06,6,11858,1354,1
1062,2022-10-22,2023-05-31,5,11030,783,1
1063,2021-08-13,2023-09-20,8,22413,671,1
1064,2022-12-22,2027-09-29,11,22752,-799,0
1065,2020-05-23,2023-07-19,5,7892,734,1
1066,2021-02-14,2025-07-04,2,5521,18,1
1067,2019-02-04,2021-11-07,8,11093,1353,1
1068,2019-07-25,2022-05-28,10,7755,1151,1
1069,2022-01-09,2022-05-14,6,17426,1165,1
1070,2022-11-12,2027-07-26,8,22851,-734,0
1071,2021-10-22,2023-09-14,7,9840,677,1
1072,2021-10-18,2025-03-14,7,11904,130,0
1073,2022-11-14,2027-10-08,10,13123,-808,0
1074,2020-07-19,2020-09-23,6,13469,1763,1
1075,2022-02-03,2025-12-26,11,36289,-157,0
1076,2020-12-03,2025-09-16,13,32853,-56,0
1077,2020-02-06,2024-06-02,8,22214,415,1
1078,2020-12-30,2021-11-03,2,5229,1357,1
1079,2019-06-11,2020-02-12,9,17999,1987,1
1080,2019-07-21,2022-01-02,9,25312,1297,1
1081,2021-09-22,2024-03-12,6,15352,497,1
1082,2019-09-27,2023-05-15,8,24636,799,1
1083,2021-03-26,2021-06-25,5,8276,1488,1
1084,2022-07-18,2024-04-03,8,5571,475,1
1085,2020-03-31,2022-04-28,5,13919,1181,1
1086,2022-06-29,2026-04-24,8,18098,-276,0
1087,2021-10-13,2022-12-13,6,10667,952,1
1088,2019-10-23,2021-10-20,13,23658,1371,1
1089,2020-12-20,2023-11-27,6,23496,603,1
1090,2019-12-04,2020-06-27,6,9110,1851,1
1091,2021-05-28,2025-12-18,6,8160,-149,0
1092,2021-12-12,2023-02-10,5,10319,893,1
1093,2021-03-02,2022-06-19,6,17312,1129,1
1094,2019-08-05,2023-02-11,8,29670,892,1
1095,2021-02-02,2021-05-18,5,12465,1526,1
1096,2019-07-07,2020-04-26,4,4188,1913,1
1097,2020-01-15,2021-05-13,5,17390,1531,1
1098,2020-05-07,2022-05-24,5,9926,1155,1
1099,2021-11-30,2024-01-03,10,13717,566,1
1100,2022-03-26,2026-03-02,7,8333,-223,0
1101,2019-01-15,2023-06-20,6,15763,763,1
1102,2019-03-06,2021-08-02,11,23970,1450,1
1103,2020-06-04,2024-09-10,3,6776,315,0
1104,2022-09-29,2026-08-19,10,29648,-393,0
1105,2022-02-26,2022-08-18,12,16780,1069,1
1106,2020-10-09,2023-04-11,8,24196,833,1
1107,2021-12-22,2025-01-17,9,14495,186,0
1108,2022-03-08,2025-05-03,7,25361,80,0
1109,2020-08-15,2021-10-14,6,14694,1377,1
1110,2020-01-27,2023-01-09,7,9168,925,1
1111,2020-02-23,2022-10-27,4,1923,999,1
1112,2019-10-16,2022-04-23,9,23460,1186,1
1113,2020-01-14,2024-03-15,5,8596,494,1
1114,2019-08-19,2023-11-03,6,11299,627,1
1115,2021-10-14,2026-03-20,4,10298,-241,0
1116,2019-02-10,2022-05-29,9,24820,1150,1
1117,2021-11-17,2025-02-26,7,20424,146,0
1118,2019-05-15,2021-01-02,12,13426,1662,1
1119,2019-07-20,2022-07-16,8,24555,1102,1
1120,2021-02-18,2021-07-06,11,17222,1477,1
1121,2021-07-18,2026-04-29,10,3078,-281,0
1122,2021-11-22,2024-11-21,7,7813,243,0
1123,2021-12-07,2025-04-29,6,12981,84,0
1124,2020-05-17,2023-01-06,6,7595,928,1
1125,2020-02-11,2021-04-13,11,21273,1561,1
1126,2021-03-15,2024-09-11,2,4507,314,1
1127,2019-04-09,2021-01-31,8,14911,1633,1
1128,2020-11-14,2024-02-13,7,11404,525,1
1129,2020-12-26,2024-04-25,6,6371,453,1
1130,2021-08-18,2025-02-06,7,14115,166,0
1131,2020-09-04,2022-10-06,10,4512,1020,1
1132,2020-10-04,2021-06-25,8,11884,1488,1
1133,2021-10-25,2023-09-12,8,10433,679,1
1134,2022-05-26,2024-07-14,6,10922,373,1
1135,2020-05-17,2022-01-24,5,9200,1275,1
1136,2021-02-05,2024-01-03,8,21759,566,1
1137,2020-02-02,2023-03-05,8,25500,870,1
1138,2021-05-20,2024-01-28,4,4646,541,1
1139,2021-03-05,2022-08-08,4,13978,1079,1
1140,2020-01-28,2022-08-27,7,9908,1060,1
1141,2019-07-26,2023-02-21,10,21293,882,1
1142,2021-11-04,2025-05-10,7,16682,73,0
1143,2021-06-10,2025-09-29,9,34500,-69,0
1144,2021-05-13,2024-09-21,9,14339,304,0
1145,2021-01-12,2025-09-14,6,3914,-54,0
1146,2022-06-18,2025-10-21,6,18706,-91,0
1147,2020-07-17,2021-02-01,10,13749,1632,1
1148,2021-10-17,2025-10-02,9,15559,-72,0
1149,2019-04-06,2021-12-06,8,9293,1324,1
1150,2020-04-29,2022-08-01,8,13847,1086,1
1151,2022-12-01,2024-09-24,3,4109,301,0
1152,2019-08-19,2023-01-17,8,20058,917,1
1153,2021-01-18,2025-05-07,6,12363,76,0
1154,2022-04-09,2022-06-06,4,5956,1142,1
1155,2020-06-24,2023-10-25,6,16481,636,1
1156,2021-11-25,2025-12-09,5,10956,-140,0
1157,2020-06-08,2021-06-11,9,5539,1502,1
1158,2022-03-29,2026-11-24,9,24207,-490,0
1159,2022-06-20,2026-09-16,4,8554,-421,0
1160,2022-01-14,2025-12-02,5,15215,-133,0
1161,2020-07-31,2024-05-26,8,16743,422,1
1162,2020-11-12,2022-04-25,5,7031,1184,1
1163,2020-07-10,2025-03-16,12,22161,128,0
1164,2021-10-09,2023-04-02,6,15617,842,1
1165,2020-10-07,2024-07-18,7,9953,369,1
1166,2021-03-06,2021-11-07,5,8348,1353,1
1167,2021-11-17,2025-08-02,4,7334,-11,0
1168,2022-09-25,2025-12-23,8,9103,-154,0
1169,2022-09-16,2025-10-13,5,7163,-83,0
1170,2022-10-03,2026-04-30,2,4258,-282,1
1171,2022-06-08,2026-06-15,7,20313,-328,0
1172,2019-07-09,2020-10-25,8,17902,1731,1
1173,2022-06-02,2024-11-23,10,19656,241,0
1174,2022-11-09,2026-03-28,7,9635,-249,0
1175,2022-11-01,2023-05-16,11,31035,798,1
1176,2022-07-30,2022-11-27,9,20926,968,1
1177,2020-09-24,2022-10-07,6,8819,1019,1
1178,2020-09-19,2025-01-20,12,32087,183,0
1179,2021-08-30,2021-11-06,3,7259,1354,1
1180,2022-07-06,2025-09-27,8,11118,-67,0
1181,2022-10-14,2026-11-26,6,11543,-492,0
1182,2020-12-10,2021-06-30,6,9782,1483,1
1183,2022-12-05,2024-10-17,7,27826,278,0
1184,2020-10-10,2022-12-02,7,16791,963,1
1185,2019-11-14,2023-05-10,8,17120,804,1
1186,2022-06-02,2027-01-18,10,23544,-545,0
1187,2022-06-11,2025-06-26,7,21240,26,0
1188,2020-11-14,2025-07-24,4,7749,-2,0
